,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Andhra Pradesh (Total),"9,016.76","18,510.76","20,690.14","17,598.37","21,819.67","16,271.42","15,707.59","14,845.32","12,615.50","18,969.34"
"Education, Sports, Art & Culture",64.08,"3,175.65","3,416.54",339.94,244.86,363.18,143.53,374.39,552.87,237.55
Health & Family Welfare,515.74,"1,129.37",537.05,204.41,174.92,200.96,398.71,276.95,745.66,236.46
Water Supply and Sanitation,-786.83,"1,426.15",571.77,544.73,666.08,562.87,532.41,59.9,77.99,512.48
Housing & Urban Development,348.69,408.01,289.61,563.2,"2,312.16","2,438.58",643.35,"1,215.45",813.96,"2,322.97"
Public Works,112.73,48.77,43.23,48.33,58.02,35.96,72.04,40.84,237.22,82.31
Irrigation and Flood Control,"4,331.52","5,916.81","4,023.67","4,337.14","13,385.90","8,242.67","9,996.12","8,917.33","4,289.98","9,761.02"
Energy ,0.12,689.46,97.39,"4,832.70",301.99,344.74,119.77,82.79,"2,154.05",249.84
Agriculture & Allied Activities,93.37,663.81,86.95,220.83,312.7,289.33,116.38,97.08,37.04,26.38
Industries & Minerals,296.21,-122.73,776.71,445.98,653.62,115.66,0.01,18.07,118.93,97.51
Transport,649.78,627.7,872.72,999.07,863.34,853.41,"2,258.03","2,695.42","2,364.48","2,990.50"
Police,-98.6,268.55,149.94,289.17,166.08,191.89,195.9,129.87,203.23,156.94
Rural Development,"1,217.99",699.26,"1,734.69",821.64,875.03,869.34, -   , -   , -   , -   
"Welfare of SCs, STs, OBCs and Minorities",196.65,151.86,169.21,162.65,143.86,677.4,530.21,549.45,654.96,578.7
Social Welfare & Nutrition,16.77,21.79,20.83,18.26,49.36,88.87,82.4,105.23,38.42,16.67
Tourism,53.56,77.01,9.42,6.25,9.88,39.55,25.89,12.84, -   ,19.64
Others,"2,004.98","3,329.29","7,890.41","3,764.07","1,601.87",957.01,592.84,269.71,326.71,"1,680.37"
Arunchal Pradesh (Total),"8,110.73","6,490.89","5,128.15","3,709.07","5,747.59","3,193.17","1,554.34","2,006.23","1,488.11","1,698.23"
"Education, Sports, Art & Culture",285.8,281.09,65.11,107.52,205.05,86.62,94.14,118.91,132.52,113.57
Health & Family Welfare,97.46,24.83,10.61,59.08,56.76,41.71,14.89,26.03,34.04,28.25
Water Supply and Sanitation,430.36,330.45,224.55,253.08,416.43,302.52,131.17,73.46,40.76,28.62
Housing & Urban Development,432.74,384.85,125.75,141.42,394.03,265.69,290.57,149.51,170.73,275.22
Public Works,532.92,435.7,234.19,164.09,363.08,147.68,93.04,306.49,116.63,156.46
Irrigation and Flood Control,334.62,147.76,171.34,133.72,164.73,69.57,82.37,121.4,30.76,20.3
Energy ,543.94,430.69,172.7,173.36,340.36,250.92,176.67,129.09,106.92,119.75
Agriculture & Allied Activities,66.85,44.79,21.38,34.56,46.86,15.33,15.26,24.29,17.22,24.97
Industries & Minerals,29.1,26.36,11.44,11.84,3.49,10.28,6.79,10.75,4.39,13.23
Transport,"3,817.02","2,677.89","3,166.97","1,848.16","2,629.70","1,174.04",382.22,810.97,605.35,664.53
Police,154.44,204.68,64.05,54.46,39.9, -   ,0.76,4.17,0.19,10.29
Rural Development,79.16,37,34.59,7.74,34.58,53.09,35.66,20.43,18.41,21.53
"Welfare of SCs, STs, OBCs and Minorities",10.88,0.38, -   , -   , -   , -   , -   , -   , -   , -   
Social Welfare & Nutrition,152.82,315.26,219.29,158.43,147.62,156.72,48.32,52.34,52.9,66.51
Tourism,12.87,40.76,5.56,1.32,100.98,31.13,53.21,10.52,47.5,32.81
Others,"1,129.75","1,108.40",600.62,560.29,804.02,587.87,129.27,147.87,109.79,122.19
Assam  (Total),"16,337.55","20,229.84","12,487.19","13,501.58","11,362.15","7,946.91","6,001.46","2,951.00","4,542.98","4,011.26"
"Education, Sports, Art & Culture",520.26,601.32,72.39,166.04,67.13,60.89, -   , -   , -   ,0.03
Health & Family Welfare,571.99,933.74,521.32,487.36,390.55,229.46,34.44,6.32,13.12,12.52
Water Supply and Sanitation,863.29,768.81,"1,545.62",635.55,"1,378.84","2,130.82","1,097.42",456.39,480.88,106.93
Housing & Urban Development,303.19,652.21,171.83,330.48,293.86,416.45,445.48,135.82,78.1,80.69
Public Works,"1,302.21",405.35,304.09,246.97,299.45,180.56,170.76,75.56,134.57,125.74
Irrigation and Flood Control,"1,185.17","1,111.01","1,015.86","1,641.37","1,594.47",662.98,806.9,925.25,"1,505.86",961.33
Energy ,836.91,"3,767.63",330.43,397.48,499.14,992.34,925.27,310.67,783.03,702.13
Agriculture & Allied Activities,141.19,357.09,348.59,195.4,266.73,262.18,54.89,18.3,10.98,14.46
Industries & Minerals,426.57,109.38,65.29,95.55,242.91,129.9,185.66,78.8,133.22,142.05
Transport,"8,652.46","9,167.85","7,551.00","8,458.98","5,543.82","2,203.95","1,716.78",699.97,994.11,941.71
Police,380.5,142.15,-4.99,19.82,109.08,157.19,28.84, -   , -   , -   
Rural Development,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Welfare of SCs, STs, OBCs and Minorities",106.08,28.66,31.21,48.74,10.28,7.54,0.53, -   ,0.39,0.78
Social Welfare & Nutrition,19.37,0.58, -   , -   ,4.5, -   , -   , -   , -   , -   
Tourism,49.76,23.45,21.01,18.45,18.03,25.38,24.19,5.33,25.12,13.16
Others,978.6,"2,160.61",513.54,759.39,643.36,487.27,510.3,238.59,383.6,909.73
Bihar  (Total),"33,576.59","25,156.80","19,322.57","12,970.20","22,528.81","29,149.73","27,322.27","24,587.24","18,519.12","14,808.38"
"Education, Sports, Art & Culture","2,712.46","2,442.88","1,332.85",795.68,"1,548.22","1,518.70","1,074.46",550.17,263.45,703.64
Health & Family Welfare,"2,426.48",865.44,647.99,862.34,"1,145.71",564.96,870.43,"1,090.75",315.77,460.17
Water Supply and Sanitation,"1,310.02","1,975.96","4,645.73","1,453.84","1,485.37","1,763.58","1,163.89",773.47,885.2,618.15
Housing & Urban Development,314.25,328.69,221.07,174.91,231.21,168.96,158.77,50.04,17.74,19.51
Public Works,"1,596.45","1,528.06",576.96,"1,029.04","1,781.73","1,665.26","1,003.76","1,038.23",984.66,412.23
Irrigation and Flood Control,"2,651.57","3,610.66","2,212.99",554.56,"2,046.00","2,665.49","1,797.02","1,684.65","1,423.95","1,798.91"
Energy ,"3,169.74","1,507.13","1,368.96","3,118.89","5,191.74","7,155.46","5,813.61","2,934.74","4,419.26","2,622.27"
Agriculture & Allied Activities,666.75,463.99,239.44,71.19,904.64,198.34,127.89,709.19,285.02,501.47
Industries & Minerals,"2,217.40",649.89,210.9,137.32,97.7,110.48,229.21,46.93,3.64,572.18
Transport,"7,568.68","5,332.12","3,254.46","1,513.56","5,275.24","5,402.44","5,601.20","4,735.58","4,198.05","4,090.26"
Police,574.4,609.75,143.34,419.36,445.33,269.43,278.43,318.2,219.15,457.38
Rural Development,"6,218.08","3,955.66","3,558.45","1,590.73",960.4,"6,387.66","7,891.74","8,012.63","4,647.84","1,933.51"
"Welfare of SCs, STs, OBCs and Minorities",73.58,68.36,31.44,25.7,27.21,30.1,21.43,18.6,-20.63,6.07
Social Welfare and Welfare,509.83,132.97,29.5,34.14,73.51,103.75,63.7,101,30.2,-32.57
Tourism,203.14,123.58,56.82,63.85,42.01,76.18,57.27,33.78,66.56,52.9
Others,"1,363.76","1,561.66",791.67,"1,125.09","1,272.79","1,068.94","1,169.46","2,489.28",779.26,592.3
Chhattisgarh  (Total),"13,406.26","10,828.28","9,074.69","8,622.50","9,143.89","10,369.72","9,743.22","8,109.74","6,632.57","5,892.72"
"Education, Sports, Art & Culture",505.36,408.79,415.91,315.32,490.37,667.69,516.95,497.27,261.26,253.34
Health & Family Welfare,719.82,324.7,511.71,361.83,214.49,401.19,325,289.82,234.46,126.99
Water Supply and Sanitation,"2,544.19","1,503.34",907.93,405.4,325.3,427.37,397.2,188.16,52.49,10.49
Housing & Urban Development,727.15,778.79,689.7,598.04,455.82,760.6,870.4,513.28,671.94,80.98
Public Works,528.71,247.43,400.11,148.85,233.71,228.26,158.8,343.07,220.14,146.33
Irrigation and Flood Control,"1,133.63","1,041.32","1,133.37","1,125.36","1,588.45","1,678.71","1,888.14","1,736.71","1,538.93","1,684.35"
Energy ,735.69,825.18,552.11,516.71,594.99,824.81,907.46,130,32.5,22
Agriculture & Allied Activities,248.41,221.64,133.88,108.42,236.9,159.82,194.15,182.5,113.8,"1,391.33"
Industries & Minerals,53.71,9.68,12.74,9.22,20.45,64.76,111.06,52.97,35.84,8.11
Transport,"4,309.66","4,432.26","3,363.95","3,941.89","3,770.77","3,732.00","3,422.89","3,068.92","2,591.36","1,801.35"
Police,217.3,99.25,106.22,43.01,13.93,47.63,28.74,19.26,37.38,36.09
Rural Development,961.77,271.28,350.57,505.2,588.68,655.53,366.7,721.19,457.37,90.71
"Welfare of SCs, STs, OBCs and Minorities",491.78,381.4,358.3,230.46,339.5,387.91,366.88,240.73,215.82,81.92
Social Welfare & Nutrition,16.43,3.95,34.28,30.84,9.92,60.67,77.07,49.26,94.32,106.27
Tourism,72.01,57.5,10.9,13.68,13.77,4,26.61, -   ,6.5,4.39
Others,140.64,221.77,93.01,268.27,246.84,268.77,85.17,76.6,68.46,48.07
Goa  (Total),"3,429.72","2,684.77","1,998.30","1,673.66","2,152.25","2,128.00","1,642.14","1,624.96","1,237.03","1,012.47"
"Education, Sports, Art & Culture",115.39,132.91,34.07,175.35,237.87,118.16,105.13,158.09,135.11,62.52
Health & Family Welfare,78.42,188.81,118.75,152.22,112.81,80.37,59.28,31.12,16.87,17.37
Water Supply and Sanitation,382.25,368.77,370.56,206.09,300.1,311.57,239.67,141.07,116.08,91.49
Housing & Urban Development,293.57,206.99,60.05,37.87,99.02,167.29,22.52,2.93,0.25,0.44
