,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Andhra Pradesh (Total),"201,256","159,163","152,677","137,475","128,570","121,214","116,215","95,950","114,866","110,375"
Police,"6,720","5,671","5,829","5,369","5,077","4,505","4,168","3,609","4,080","5,051"
Public Works,289,251,251,237,239,229,231,202,215,265
"Education, Sports, Art and Culture","26,094","22,620","20,789","26,303","19,342","19,654","17,213","16,079","16,300","18,480"
Health & Family Welfare,"10,972","10,141","8,974","7,334","7,225","6,188","6,044","4,945","4,806","5,777"
Water Supply and Sanitation,562,291,-92,709,"1,590","3,173","1,133","1,115","1,471",652
Housing & Urban Development,"14,195","6,592","5,547","4,974","7,119","4,515","4,766","3,910","3,575","2,049"
Social Welfare & Nutrition,"12,123","5,106","4,889","5,260","21,237","13,457","11,364","13,253","8,930","8,486"
Welfare of SCs/STs/OBCs/Minorities,"22,627","22,173","22,411","21,601","5,447","9,746","7,952","5,603","5,662","7,178"
Agriculture & Allied Activities,"11,161","7,432","11,319","6,714","8,489","7,326","7,945","4,924","10,102","3,937"
Rural Development,"10,976","9,218","12,717","7,505","7,460","7,990","9,802","8,255","9,569","4,677"
Irrigation & Flood Control,722,"1,110",692,594,602,634,596,623,"4,972","8,861"
Energy,"18,008","10,851","6,017","6,840","1,902","3,417","11,483","3,806","12,417","7,412"
Industry & Minerals,245,906,"1,318",378,"1,008","1,536",870,581,"2,453",794
Transport,"4,605","4,208","4,300","1,442","1,142","1,475","1,181","1,213","3,330","1,935"
Ecology & Environment,4,2,2,1,2,3,3,1,10,2
Tourism,32,-3,23,68,110,191,40,132,46,64
Civil Supplies,403,220,85,-61,480,519,192,173,257,124
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),20,20,20,16,41,86,93,116,126,218
Others,"61,499","52,354","47,586","42,191","40,058","36,572","31,140","27,409","26,546","34,412"
Arunachal Pradesh (Total),"17,418","15,847","13,088","12,219","12,429","10,900","9,395","8,363","7,157","5,731"
Police,"1,191","1,143",940,891,873,878,733,670,584,472
Public Works,371,317,281,301,279,265,226,176,158,150
"Education, Sports, Art and Culture","2,748","2,315","1,585","1,847","1,814","1,718","1,409","1,276","1,031",778
Health & Family Welfare,"1,481","1,348",929,944,"1,061",894,692,489,546,312
Water Supply and Sanitation,634,960,885,752,733,670,514,365,299,268
Housing & Urban Development,255,424,277,149,266,149,71,102,58,54
Social Welfare & Nutrition,389,388,260,398,337,324,158,196,173,156
Welfare of SCs/STs/OBCs/Minorities,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Agriculture & Allied Activities,"1,634","1,239",832,"1,147",800,769,770,666,657,606
Rural Development,"1,100",674,"1,124",441,618,576,422,328,185,125
Irrigation & Flood Control,363,400,367,212,204,275,180,175,122,168
Energy,"1,425","1,380","1,067",918,971,704,797,560,440,408
Industry & Minerals,150,124,97,103,97,91,79,72,63,59
Transport,"1,106","1,037",772,"1,007","1,149",804,877,"1,121",865,554
Ecology & Environment,4,3,2,3,3,3,1,1,0,1
Tourism,47,34,18,42,43,36,31,25,24,19
Civil Supplies,83,84,66,59,51,53,26,32,27,22
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Others,"4,436","3,975","3,587","3,005","3,131","2,693","2,406","2,108","1,924","1,580"
Assam  (Total),"101,815","82,548","64,520","65,817","56,899","55,481","49,363","37,011","39,078","31,990"
Police,"4,826","4,315","4,102","4,098","3,871","3,654","2,894","2,459","2,385","2,208"
Public Works,389,365,297,258,245,267,281,140,402,283
"Education, Sports, Art and Culture","19,290","17,956","16,338","15,814","15,609","14,090","12,655","10,710","11,164","9,420"
Health & Family Welfare,"6,304","6,542","5,728","4,847","4,252","4,212","3,162","2,856","1,909","1,866"
Water Supply and Sanitation,518,549,599,670,643,391,957,634,780,516
Housing & Urban Development,"15,385","3,593","2,597","2,516",755,"2,428","2,094","1,158","1,100",296
Social Welfare & Nutrition,"5,519","2,436","2,280","2,339","1,615","1,110","1,125","1,557","1,575","1,361"
Welfare of SCs/STs/OBCs/Minorities,"3,076","1,216",622,"2,077","1,649",643,771,214,567,675
Agriculture & Allied Activities,"3,997","4,163","3,603","3,823","2,895","2,905","2,530","1,667","2,088","1,895"
Rural Development,"5,376","3,556","3,630","5,455","1,983","3,114","1,666","1,788","1,655",981
Irrigation & Flood Control,"1,346",928,882,875,855,847,769,669,733,696
Energy,"1,152","1,301","1,352","1,406","1,642","1,563",419,3,114,152
